State,Company,City,Number of Workers,WARN Received Date,Effective Date,Closure/Layoff,Temporary/Permanent,Union,Region,County,Industry,Notes
New York,"Jujamcyn Theaters LLC at St James Theatre, Al Hirschfeld Theatre, August Wilson Theatre, Eugene O'Neil Theatre, Walter Kerr Theatre NYC)",New York,1082,06/15/2020,03/12/2020,Temporary Plant Closing,,,New York City,New York,Theatrical Production,Unforeseeable business circumstances prompted by COVID- 19
New York,Sing Street Broadway LLC,New York,60,06/15/2020,03/12/2020,Temporary Plant Closing,,,New York City,New York,Theatrical Production,Unforeseeable business circumstances prompted by COVID- 19
New York,"City Winery New York, LLC (25 11th Ave.)",New York,15,06/15/2020,03/15/2020,Temporary Plant Closing,,,New York City,New York,Restaurant and Entertainment Venue,Unforeseeable business circumstances prompted by COVID- 19
New York,"City Winery, LLC (601 W. 26th St.)",New York,4,06/15/2020,03/15/2020,Temporary Plant Closing,,,New York City,New York,Restaurant and Entertainment Venue,Unforeseeable business circumstances prompted by COVID- 19
New York,Train Times Broadway LP (Harry Potter and the Cursed Child at Lyric Theatre - NYC),New York,115,06/15/2020,03/12/2020,Temporary Plant Closing,,,New York City,New York,Theatre,Unforeseeable business circumstances prompted by COVID- 19
New York,TWA Hotel,New York,111,06/15/2020,03/21/2020,Temporary Plant Layoff,,,New York City,New York,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,Hadestown Broadway LLC c/o RCI Theatricals,New York,54,06/15/2020,03/12/2020,Temporary Plant Layoff,,,New York City,New York,Theatre,Unforeseeable business circumstances prompted by COVID- 19
New York,"333 South Service Road, LLC dba Four Points by Sheraton Plainview",Plainview,14,06/15/2020,02/15/2020,Temporary Plant Unit Closing,,,Long Island,Nassau,Hotel,Unforeseeable business circumstances prompted by COVID- 19.
New York,Sussex Great Neck LLC dba Inn at Great Neck,Great Neck,13,06/15/2020,03/21/2020,Temporary Plant Unit Closing,,,Long Island,Nassau,Hotel,Unforeseeable business circumstances prompted by COVID- 19.
New York,Brush Hollow Inn LLC dba Viana Hotel and Spa,Westbury,19,06/15/2020,03/14/2020,Temporary Plant Unit Closing,,,Long Island,Nassau,Hotel and Spa,Unforeseeable business circumstances prompted by COVID- 19.
New York,Adria Operating Corp. - Adria Hotel and Conference Center,Bayside,13,06/15/2020,02/15/2020,Temporary Plant Unit Closing,,,New York City,Queens,Hotel,Unforeseeable business circumstances prompted by COVID- 19
New York,"Barnes & Noble, Inc.",New York,64,06/12/2020,09/09/2020,Plant Closing,,,New York City,New York,Book Store,Economic
New York,Jagged Little Pill LLC at the Broadhurst Theatre,New York,64,06/12/2020,03/12/2020,Temporary Plant Closing,,,New York City,New York,Theatre,Unforeseeable business circumstances prompted by COVID- 19
